Ensembl,CON-25-1,CON-25-2,CON-25-3,CDDP-25-1,CDDP-25-2,CDDP-25-3,CDDP-50-1,CDDP-50-2,CDDP-50-3,symbol
ENSG00000179526,1212.815362,1208.012018,1171.485855,1128.148739,1136.158038,1327.543208,1779.486167,1994.731253,1656.666856,SHARPIN
ENSG00000179632,2834.849894,2578.269214,2872.680042,1972.823771,1863.011319,1858.137707,2699.288138,2307.755532,2306.812279,MAF1
ENSG00000179698,14.84214604,19.33491748,16.93131655,63.20697518,79.16223857,89.84169799,142.7797178,234.7682099,192.6356809,WDR97
ENSG00000235173,1031.175766,1100.408999,904.6160557,747.9492063,779.0283932,672.2272932,1068.593467,790.5460129,828.3334278,HGH1
ENSG00000227473,112.3762486,125.2566393,140.2880514,215.4783245,214.0978725,213.5061529,214.9210489,249.1417738,293.7694134,TSSK5P
ENSG00000179832,597.219686,628.8051424,615.171168,362.0035851,468.6764352,495.7147807,679.3308677,993.3729697,903.7824029,MROH1
ENSG00000261236,3180.459866,3302.908295,2853.329965,2589.570619,2709.507529,2435.238496,3870.081824,4385.534043,3441.757499,BOP1
ENSG00000260428,33.21813638,41.19178072,21.76883557,24.89971749,22.48927232,19.02530075,22.54416596,57.49425548,72.23838033,SCX
ENSG00000185122,2294.171717,2326.074638,2301.852798,2620.216426,2651.035421,2570.529524,3261.389343,3548.673213,2887.929916,HSF1
ENSG00000185000,556.9338611,581.7288216,522.4520536,1356.076922,1325.967496,1617.150564,2207.82532,1865.369178,2043.543515,DGAT1
ENSG00000261678,2.827075437,2.521945758,3.225012676,22.02667317,13.49356339,20.0822619,30.05888795,25.55300244,41.73773086,SCRT1
ENSG00000261587,4.947382014,5.043891517,4.837519015,13.40754019,25.187985,23.25314536,25.55005476,47.91187957,49.76421756,TMEM249
ENSG00000271698,7.774457451,8.406485861,7.256278522,27.77276182,38.68154839,48.62021303,90.17666386,60.68838079,80.26486704,AC233992.2
ENSG00000185803,1499.05675,1641.786689,1457.70573,2143.291067,2183.258557,2392.96005,3667.18433,3642.89991,3225.042358,SLC52A2
ENSG00000182325,806.4232684,843.1705319,711.1152952,1160.709908,1235.110836,1345.511548,2337.078538,1670.527534,1759.405885,FBXL6
ENSG00000173137,272.1060108,313.5619226,256.3885078,520.0210231,510.0566962,592.9552067,748.46631,691.5281284,561.8540693,ADCK5
ENSG00000071894,1716.03479,1725.851547,1812.457124,2047.522923,2040.226785,2167.827324,2389.681592,2513.776615,2379.050659,CPSF1
ENSG00000272115,6.360919733,3.362594344,6.450025353,13.40754019,15.29270518,21.13922306,18.03533277,23.95593978,22.47416277,AC233992.3
ENSG00000147804,482.016362,532.130555,461.9830659,345.7230006,371.5227787,336.1136466,664.3014238,763.3959478,589.1441241,SLC39A4
ENSG00000160948,950.6041156,969.2678198,1029.585297,1756.387765,1800.041357,2090.66916,2227.363597,2275.814279,2117.387192,VPS28
ENSG00000160949,1173.236306,1332.428009,1134.398209,1030.465232,1036.305669,1569.587312,1762.953778,1512.418332,1586.033773,TONSL
ENSG00000232600,2.827075437,2.521945758,6.450025353,13.40754019,8.096138035,7.39872807,7.514721988,9.582375913,4.815892022,TONSL-AS1
ENSG00000187954,1021.98777,1100.408999,1159.392057,3145.025856,3130.506707,3607.408415,3007.39174,3492.77602,3721.079236,CYHR1
ENSG00000167702,1319.53746,1400.520544,1231.954842,1742.980225,1753.26367,2199.536159,3253.874621,2922.624654,3213.805276,KIFC2
ENSG00000160973,10.60153289,7.565837275,6.450025353,28.73044326,37.7819775,60.24678571,54.10599832,89.43550853,41.73773086,FOXH1
